English,Russian
people,люди
over,над
because,потому что
little,маленький
please,пожалуйста
love,любовь
should,должен
mean,иметь в виду
said,сказал
sorry,Извините
give,дайте
off,выключенный
am,являюсь
thank,благодарить
any,Любые
even,даже
doing,делает
sure,Конечно
these,эти
first,первый
into,в
anything,что-либо
still,Все еще
find,найти
nothing,ничего такого
sir,сэр
god,Бог
their,их
uh,Эм-м-м
again,опять таки
maybe,может быть
must,должен
before,до
other,Другой
wait,ждать
stop,остановка
call,вызов
after,после
won,выиграл
talk,разговаривать
than,чем
night,ночь
put,помещать
great,большой
last,последний
better,лучше
told,сказал
mr.,г-н.
new,новый
things,вещи
always,всегда
keep,хранить
long,длинная
years,годы
leave,оставлять
does,делает
money,Деньги
around,около
doesn,не
name,имя
place,место
ever,Когда-либо
feel,Чувствовать
father,отец
guy,парень
old,старый
which,который
big,большой
lot,много
done,Выполнено
hello,привет
nice,отлично
believe,полагать
girl,девочка
someone,кто то
fine,отлично
thanks,Благодарность
wanted,хотел
kind,Добрый
coming,приходящий
house,дом
every,каждый
ok,Ok
throug,через
being,существование
course,курс
stay,остаться
left,оставил
dad,папа
came,пришел
may,май
wrong,неправильный
world,Мир
bad,Плохо
might,мощь
three,три
today,Cегодня
listen,Слушать
another,еще один
understand,понять
hear,слышать
remember,запомнить
own,собственный
same,такой же
show,показывать
else,еще
kill,убийство
found,найденный
next,следующий
getting,получающий
care,забота
car,автомобиль
looking,Ищу
son,сын
woman,женщина
went,шел
hi,Здравствуй
dead,мертвых
many,много
mind,разум
wasn,был
friend,друг
best,Лучший
mom,Мама
hell,ад
morning,утро
trying,пытающийся
boy,мальчик
together,вместе
yourself,самим собой
job,работа
saw,пила
real,настоящий
without,без
baby,малыш
already,уже
move,шаг
most,самый
seen,видимый
